date,currency,code,nominal,price
2020-05-21,Доллар США,USD,1,72.3381
2020-05-22,Доллар США,USD,1,70.924
2020-05-23,Доллар США,USD,1,71.8804
2020-05-26,Доллар США,USD,1,71.5962
2020-05-27,Доллар США,USD,1,71.1408
2020-05-28,Доллар США,USD,1,71.0635
2020-05-29,Доллар США,USD,1,71.1012
2020-05-30,Доллар США,USD,1,70.752
2020-06-02,Доллар США,USD,1,69.7114
2020-06-03,Доллар США,USD,1,68.9831
2020-06-04,Доллар США,USD,1,68.3413
2020-06-05,Доллар США,USD,1,69.0151
2020-06-06,Доллар США,USD,1,68.6319
2020-06-09,Доллар США,USD,1,68.3123
2020-06-10,Доллар США,USD,1,68.6745
2020-06-11,Доллар США,USD,1,68.6183
2020-06-12,Доллар США,USD,1,69.1219
2020-06-16,Доллар США,USD,1,70.395
2020-06-17,Доллар США,USD,1,69.7524
2020-06-18,Доллар США,USD,1,69.4822
2020-06-19,Доллар США,USD,1,69.618
2020-06-20,Доллар США,USD,1,69.5725
2020-06-23,Доллар США,USD,1,69.4835
2020-06-24,Доллар США,USD,1,68.8376
2020-06-25,Доллар США,USD,1,68.8376
2020-06-26,Доллар США,USD,1,69.466
2020-06-27,Доллар США,USD,1,69.1284
2020-06-30,Доллар США,USD,1,69.9513
2020-07-01,Доллар США,USD,1,70.4413
2020-07-02,Доллар США,USD,1,70.4413
2020-07-03,Доллар США,USD,1,70.5198
2020-07-04,Доллар США,USD,1,70.4999
2020-07-07,Доллар США,USD,1,71.3409
2020-07-08,Доллар США,USD,1,72.1719
2020-07-09,Доллар США,USD,1,71.2379
2020-07-10,Доллар США,USD,1,70.88
2020-07-11,Доллар США,USD,1,71.2298
2020-07-14,Доллар США,USD,1,70.7479
2020-07-15,Доллар США,USD,1,71.1275
2020-07-16,Доллар США,USD,1,70.7998
2020-07-17,Доллар США,USD,1,71.231
2020-07-18,Доллар США,USD,1,71.7139
2020-07-21,Доллар США,USD,1,71.9628
2020-07-22,Доллар США,USD,1,70.9668
2020-07-23,Доллар США,USD,1,70.7881
2020-07-24,Доллар США,USD,1,70.963
2020-07-25,Доллар США,USD,1,71.5974
2020-07-28,Доллар США,USD,1,71.585
2020-07-29,Доллар США,USD,1,71.9196
2020-07-30,Доллар США,USD,1,72.2348
2020-07-31,Доллар США,USD,1,73.3633
2020-08-01,Доллар США,USD,1,73.4261
2020-08-04,Доллар США,USD,1,74.1586
2020-08-05,Доллар США,USD,1,73.3806
2020-08-06,Доллар США,USD,1,73.2806
2020-08-07,Доллар США,USD,1,73.0397
2020-08-08,Доллар США,USD,1,73.6376
2020-08-11,Доллар США,USD,1,73.775
2020-08-12,Доллар США,USD,1,73.1522
2020-08-13,Доллар США,USD,1,73.2351
2020-08-14,Доллар США,USD,1,73.6067
2020-08-15,Доллар США,USD,1,73.2157
2020-08-18,Доллар США,USD,1,72.9676
2020-08-19,Доллар США,USD,1,73.4321
2020-08-20,Доллар США,USD,1,73.2392
2020-08-21,Доллар США,USD,1,73.7711
2020-08-22,Доллар США,USD,1,74.0999
2020-08-25,Доллар США,USD,1,74.4184
2020-08-26,Доллар США,USD,1,74.5126
2020-08-27,Доллар США,USD,1,75.5379
2020-08-28,Доллар США,USD,1,75.2354
2020-08-29,Доллар США,USD,1,74.6382
2020-09-01,Доллар США,USD,1,73.8039
2020-09-02,Доллар США,USD,1,73.5849
2020-09-03,Доллар США,USD,1,73.8588
2020-09-04,Доллар США,USD,1,75.468
2020-09-05,Доллар США,USD,1,75.1823
2020-09-08,Доллар США,USD,1,75.591
2020-09-09,Доллар США,USD,1,75.9645
2020-09-10,Доллар США,USD,1,76.0713
2020-09-11,Доллар США,USD,1,75.5274
2020-09-12,Доллар США,USD,1,74.8896
2020-09-15,Доллар США,USD,1,74.7148
2020-09-16,Доллар США,USD,1,75.1884
2020-09-17,Доллар США,USD,1,74.9278
2020-09-18,Доллар США,USD,1,75.1941
2020-09-19,Доллар США,USD,1,75.0319
2020-09-22,Доллар США,USD,1,76.0381
2020-09-23,Доллар США,USD,1,76.2711
2020-09-24,Доллар США,USD,1,76.3545
2020-09-25,Доллар США,USD,1,77.178
2020-09-26,Доллар США,USD,1,76.8195
2020-09-29,Доллар США,USD,1,78.6713
2020-09-30,Доллар США,USD,1,79.6845
2020-10-01,Доллар США,USD,1,78.7847
2020-10-02,Доллар США,USD,1,77.2774
2020-10-03,Доллар США,USD,1,78.0915
2020-10-06,Доллар США,USD,1,78.1281
2020-10-07,Доллар США,USD,1,78.5119
2020-10-08,Доллар США,USD,1,78.0921
2020-10-09,Доллар США,USD,1,77.9157
2020-10-10,Доллар США,USD,1,77.0284
2020-10-13,Доллар США,USD,1,77.0239
2020-10-14,Доллар США,USD,1,77.2855
2020-10-15,Доллар США,USD,1,77.2759
2020-10-16,Доллар США,USD,1,77.9461
